destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
Kentucky,2019,4421512,3792437,517128,100057,11890,Michigan,3825
Louisiana,2019,4595111,4018892,491341,67640,17238,Michigan,554
Maine,2019,1331656,1162558,128105,36129,4864,Michigan,494
Maryland,2019,5979602,5224363,569388,141766,44085,Michigan,1017
Massachusetts,2019,6828110,5975607,644535,144079,63889,Michigan,1260
Michigan,2019,9880758,8606216,1104190,132008,38344,Michigan,0
Minnesota,2019,5575235,4836702,606228,106920,25385,Michigan,3106
Mississippi,2019,2943737,2583691,291479,61683,6884,Michigan,309
Missouri,2019,6069697,5200465,694303,152345,22584,Michigan,1328
Montana,2019,1056994,882156,129779,40862,4197,Michigan,346
Nebraska,2019,1910711,1622237,234322,46064,8088,Michigan,510
Nevada,2019,3048602,2510591,384676,132950,20385,Michigan,1229
New Hampshire,2019,1350155,1173997,119189,50288,6681,Michigan,581
New Jersey,2019,8791672,7888800,689445,149260,64167,Michigan,1657
New Mexico,2019,2073628,1816418,189705,55545,11960,Michigan,216
New York,2019,19240920,17213380,1638372,254806,134362,Michigan,5504
North Carolina,2019,10371906,8834381,1170200,315215,52110,Michigan,6302
North Dakota,2019,750501,615450,94413,36668,3970,Michigan,1015
Ohio,2019,11556037,9891733,1415185,205542,43577,Michigan,14049
Oklahoma,2019,3907258,3282746,509137,101844,13531,Michigan,794
Oregon,2019,4178578,3527178,501680,129921,19799,Michigan,1250
Pennsylvania,2019,12670245,11092255,1259103,267465,51422,Michigan,1969
Rhode Island,2019,1050602,930406,80686,34984,4526,Michigan,49
South Carolina,2019,5092727,4414770,478892,176008,23057,Michigan,2251
South Dakota,2019,872708,739009,102133,26934,4632,Michigan,128
Tennessee,2019,6754461,5782145,755183,196765,20368,Michigan,6548
Texas,2019,28642658,24347958,3517954,559661,217085,Michigan,11061
Utah,2019,3162102,2661654,389057,95608,15783,Michigan,748
Vermont,2019,617560,536752,57776,21212,1820,Michigan,103
Virginia,2019,8439982,7201805,903735,264855,69587,Michigan,6012
Washington,2019,7527366,6253469,977928,231956,64013,Michigan,3703
West Virginia,2019,1773280,1563611,164739,39548,5382,Michigan,316
Wisconsin,2019,5760481,5001140,634732,107973,16636,Michigan,5307
Wyoming,2019,572884,473128,68127,30247,1382,Michigan,93
Puerto Rico,2019,3175835,2968876,169733,31144,6082,Michigan,6
Alabama,2021,4989797,4392571,468964,115641,12621,Michigan,3065
Alaska,2021,723949,625088,63611,31378,3872,Michigan,1024
Arizona,2021,7202745,6144045,759450,264948,34302,Michigan,3642
Arkansas,2021,2990311,2595527,312848,76108,5828,Michigan,3475
California,2021,38833197,34461724,3749371,433402,188700,Michigan,9419
Colorado,2021,5757628,4794481,686892,250031,26224,Michigan,3947
Connecticut,2021,3571470,3168509,279328,106618,17015,Michigan,254
Delaware,2021,994669,889174,58180,42551,4764,Michigan,451
District of Columbia ,2021,661026,527167,68606,57746,7507,Michigan,607
Florida,2021,21590684,18571567,2206566,674740,137811,Michigan,24506
Georgia,2021,10688429,9243299,1107180,302512,35438,Michigan,4923
Hawaii,2021,1426298,1230761,110790,71626,13121,Michigan,891
Idaho,2021,1879719,1601568,176458,96388,5305,Michigan,548
Illinois,2021,12544435,11095785,1200753,195177,52720,Michigan,9866
Indiana,2021,6729771,5835956,714384,156417,23014,Michigan,10586
Iowa,2021,3159672,2725417,347372,77245,9638,Michigan,293
Kansas,2021,2900594,2461533,323036,102319,13706,Michigan,1532
Kentucky,2021,4460646,3878219,463451,107693,11283,Michigan,2666
Louisiana,2021,4571302,3987402,483769,81944,18187,Michigan,1423
Maine,2021,1360264,1203199,111418,43492,2155,Michigan,519
Maryland,2021,6099715,5387234,519574,160016,32891,Michigan,1861
Massachusetts,2021,6916314,6043959,663154,158311,50890,Michigan,1844
Michigan,2021,9950336,8827083,950370,143042,29841,Michigan,0
Minnesota,2021,5645866,4930664,606582,93286,15334,Michigan,1979
Mississippi,2021,2919574,2608484,241171,59759,10160,Michigan,783
Missouri,2021,6102443,5282198,635797,165921,18527,Michigan,1126
Montana,2021,1093888,944443,100380,44531,4534,Michigan,419
Nebraska,2021,1939700,1677312,208977,43287,10124,Michigan,374
Nevada,2021,3111722,2661617,305571,132648,11886,Michigan,3607
New Hampshire,2021,1377638,1223839,97263,53245,3291,Michigan,0
New Jersey,2021,9174117,8199595,723937,195828,54757,Michigan,2119
New Mexico,2021,2092251,1828971,188495,68019,6766,Michigan,912
New York,2021,19626300,17583476,1666707,287249,88868,Michigan,3351
North Carolina,2021,10446881,9034306,1032016,336681,43878,Michigan,8406
North Dakota,2021,764638,641023,83572,37844,2199,Michigan,675
Ohio,2021,11660200,10209047,1228277,184477,38399,Michigan,11524
Oklahoma,2021,3943443,3347420,475441,108288,12294,Michigan,1336
Oregon,2021,4207387,3600937,458434,133935,14081,Michigan,1839
Pennsylvania,2021,12842522,11452320,1078336,261831,50035,Michigan,2737
Rhode Island,2021,1085539,959140,77691,43266,5442,Michigan,407
South Carolina,2021,5142137,4444195,484535,196200,17207,Michigan,1830
South Dakota,2021,884616,759943,95407,27528,1738,Michigan,488
Tennessee,2021,6899165,5955858,701333,220591,21383,Michigan,3550
Texas,2021,29170380,25086829,3315313,591395,176843,Michigan,10009
Utah,2021,3295561,2817208,359628,101051,17674,Michigan,1233
Vermont,2021,641007,564684,42454,31809,2060,Michigan,650
Virginia,2021,8557020,7384723,855269,272693,44335,Michigan,3005
Washington,2021,7657350,6474967,909338,225306,47739,Michigan,2139
West Virginia,2021,1767792,1584041,137757,43801,2193,Michigan,121
Wisconsin,2021,5838954,5123397,578787,122742,14028,Michigan,5756
Wyoming,2021,573476,481018,63128,27281,2049,Michigan,121
Puerto Rico,2021,3248011,3040178,177594,27380,2859,Michigan,0
Alabama,2022,5022366,4397470,471530,139263,14103,Michigan,1033
Alaska,2022,724196,614091,68351,36563,5191,Michigan,40
Arizona,2022,7285247,6264863,690856,282729,46799,Michigan,7449
Arkansas,2022,3007872,2618120,294640,86375,8737,Michigan,405
California,2022,38629179,34335186,3515077,475803,303113,Michigan,11714
Colorado,2022,5781381,4834425,682450,229876,34630,Michigan,3711
Connecticut,2022,3588965,3172833,245100,145315,25717,Michigan,3100
Delaware,2022,1008173,899454,57963,46162,4594,Michigan,462
District of Columbia ,2022,660942,515345,68363,64506,12728,Michigan,1337
Florida,2022,22043900,19029143,2008758,738969,267030,Michigan,23781
Georgia,2022,10791161,9348359,1054380,327795,60627,Michigan,5816
Hawaii,2022,1425611,1251057,106642,56209,11703,Michigan,524
Idaho,2022,1919357,1633120,189164,87949,9124,Michigan,523
Illinois,2022,12455441,11002931,1150055,228308,74147,Michigan,12283
Indiana,2022,6757160,5886762,691986,149331,29081,Michigan,13184
Iowa,2022,3166734,2760076,323444,72231,10983,Michigan,1932
Kansas,2022,2906619,2480630,320201,94208,11580,Michigan,936
Kentucky,2022,4462146,3892713,439944,113197,16292,Michigan,2458
Louisiana,2022,4537185,4006126,435538,75330,20191,Michigan,2062
Maine,2022,1372172,1230229,95823,41618,4502,Michigan,311
Maryland,2022,6100234,5395850,511449,139784,53151,Michigan,1470
Massachusetts,2022,6918482,6065294,606626,171077,75485,Michigan,2683
Michigan,2022,9936710,8786959,949469,157955,42327,Michigan,0
Minnesota,2022,5654602,4940488,571566,117016,25532,Michigan,1923
Mississippi,2022,2907327,2584891,238542,69948,13946,Michigan,512
Missouri,2022,6111432,5320580,609551,163254,18047,Michigan,1170
Montana,2022,1111641,964155,96436,48165,2885,Michigan,490
Nebraska,2022,1943359,1698838,184950,49159,10412,Michigan,235
Nevada,2022,3145500,2719228,284073,127406,14793,Michigan,2675
New Hampshire,2022,1384607,1243278,86815,49782,4732,Michigan,0
New Jersey,2022,9174261,8289128,630801,175023,79309,Michigan,985
New Mexico,2022,2092565,1846474,164418,72095,9578,Michigan,364
New York,2022,19474187,17446663,1588018,301461,138045,Michigan,3851
North Carolina,2022,10588557,9242557,946048,341582,58370,Michigan,4295
North Dakota,2022,770498,648407,82522,34536,5033,Michigan,124
Ohio,2022,11631820,10218317,1161398,200809,51296,Michigan,12753
Oklahoma,2022,3974110,3396824,441285,117788,18213,Michigan,770
Oregon,2022,4201011,3590534,464369,128359,17749,Michigan,1139
Pennsylvania,2022,12845436,11466446,1059216,262700,57074,Michigan,3322
Rhode Island,2022,1083984,967814,67254,40311,8605,Michigan,158
South Carolina,2022,5228328,4524995,461411,219707,22215,Michigan,1829
South Dakota,2022,898505,778044,85602,31300,3559,Michigan,375
Tennessee,2022,6976549,6069961,649312,225969,31307,Michigan,5843
Texas,2022,29671447,25416204,3349854,668338,237051,Michigan,13692
Utah,2022,3337151,2859230,367147,91341,19433,Michigan,1263
Vermont,2022,641722,566069,45750,26151,3752,Michigan,201
Virginia,2022,8590803,7439966,821193,266970,62674,Michigan,3808
Washington,2022,7710339,6572952,831247,248355,57785,Michigan,3541
West Virginia,2022,1758432,1576119,136161,43493,2659,Michigan,1056
Wisconsin,2022,5835492,5119356,571451,120434,24251,Michigan,4250
Wyoming,2022,575705,487359,57696,28948,1702,Michigan,47
Puerto Rico,2022,3203439,3015876,156208,26989,4366,Michigan,0
Alabama,2017,4819343,4158224,535649,111803,13667,Minnesota,420
Alaska,2017,730874,595804,98168,30199,6703,Minnesota,1077
Arizona,2017,6935358,5717189,911120,261727,45322,Minnesota,7093
Arkansas,2017,2968395,2509717,370309,79411,8958,Minnesota,808
California,2017,39085984,34009331,4234770,523131,318752,Minnesota,7487
Colorado,2017,5542282,4546729,734182,226933,34438,Minnesota,4369
Connecticut,2017,3556297,3136666,311726,83325,24580,Minnesota,160
Delaware,2017,952449,830905,78998,38532,4014,Minnesota,45
District of Columbia ,2017,684810,554225,64013,56231,10341,Minnesota,436
Florida,2017,20772371,17554348,2402381,566476,249166,Minnesota,7614
Georgia,2017,10299497,8760762,1202587,278889,57259,Minnesota,2591
Hawaii,2017,1410750,1231340,115683,46457,17270,Minnesota,97
Idaho,2017,1694182,1405344,210310,71899,6629,Minnesota,348
Illinois,2017,12659328,11026895,1365922,195092,71419,Minnesota,5286
Indiana,2017,6591598,5633171,792487,142290,23650,Minnesota,1400
Iowa,2017,3106880,2654666,362905,77072,12237,Minnesota,6834
Kansas,2017,2876925,2413141,366147,86154,11483,Minnesota,679
Kentucky,2017,4404279,3721100,563721,103985,15473,Minnesota,577
Louisiana,2017,4629962,4030674,513676,72836,12776,Minnesota,84
Maine,2017,1322591,1140136,144186,34252,4017,Minnesota,241
Maryland,2017,5988007,5168350,605885,165654,48118,Minnesota,731
Massachusetts,2017,6789798,5888011,677835,146299,77653,Minnesota,1814
Michigan,2017,9851330,8450559,1203536,148787,48448,Minnesota,1175
Minnesota,2017,5510902,4728748,643272,115623,23259,Minnesota,0
Mississippi,2017,2946971,2553271,313673,73549,6478,Minnesota,331
Missouri,2017,6039877,5108238,742205,164957,24477,Minnesota,1672
Montana,2017,1039170,883342,116400,35456,3972,Minnesota,948
Nebraska,2017,1894217,1586729,243792,52507,11189,Minnesota,2713
Nevada,2017,2963456,2430163,383067,133074,17152,Minnesota,1687
New Hampshire,2017,1330742,1134244,137212,52893,6393,Minnesota,43
New Jersey,2017,8910191,7968039,710807,152106,79239,Minnesota,894
New Mexico,2017,2062628,1801560,193225,57255,10588,Minnesota,307
New York,2017,19638923,17553033,1655152,285252,145486,Minnesota,1973
North Carolina,2017,10158556,8649400,1139260,313834,56062,Minnesota,2769
North Dakota,2017,744641,609017,92436,37315,5873,Minnesota,13844
Ohio,2017,11520109,9822847,1452745,198929,45588,Minnesota,1362
Oklahoma,2017,3875922,3216306,542724,101961,14931,Minnesota,1083
Oregon,2017,4102048,3405784,520747,149513,26004,Minnesota,930
Pennsylvania,2017,12674642,11072942,1292389,250120,59191,Minnesota,1630
Rhode Island,2017,1048549,922210,83440,36850,6049,Minnesota,0
South Carolina,2017,4966211,4248517,531315,166573,19806,Minnesota,870
South Dakota,2017,856726,723740,99781,26106,7099,Minnesota,3510
Tennessee,2017,6642072,5675990,748912,191909,25261,Minnesota,978
Texas,2017,27924632,23534387,3643333,524511,222401,Minnesota,8715
Utah,2017,3056193,2532858,398606,99584,25145,Minnesota,1716
Vermont,2017,619089,536390,57588,21868,3243,Minnesota,75
Virginia,2017,8372522,7089782,958267,250490,73983,Minnesota,2010
Washington,2017,7318811,6016482,978057,260787,63485,Minnesota,3192
West Virginia,2017,1798306,1589833,165375,40007,3091,Minnesota,161
Wisconsin,2017,5731549,4908638,687285,112519,23107,Minnesota,19873
Wyoming,2017,573483,481231,71338,18511,2403,Minnesota,478
Puerto Rico,2017,3313519,3101332,189034,20167,2986,Minnesota,0
Alabama,2018,4832358,4173026,534914,109301,15117,Minnesota,915
Alaska,2018,727164,608707,81229,32099,5129,Minnesota,586
Arizona,2018,7090137,5887700,888452,273714,40271,Minnesota,6206
Arkansas,2018,2975961,2539294,354774,73179,8714,Minnesota,196
California,2018,39114889,34232867,4092388,501023,288611,Minnesota,6221
Colorado,2018,5633029,4626834,728730,239153,38312,Minnesota,5208
Connecticut,2018,3538203,3102312,320248,84718,30925,Minnesota,106
Delaware,2018,958770,853523,67984,34451,2812,Minnesota,0
District of Columbia ,2018,693798,568201,68603,47555,9439,Minnesota,143
Florida,2018,21092877,17863603,2420485,587261,221528,Minnesota,6820
Georgia,2018,10410462,8909803,1174523,274273,51863,Minnesota,1042
Hawaii,2018,1403653,1211015,125172,54074,13392,Minnesota,363
Idaho,2018,1734756,1438727,209540,79765,6724,Minnesota,631
Illinois,2018,12599244,11029483,1295596,206620,67545,Minnesota,4498
Indiana,2018,6612948,5614432,821113,145256,32147,Minnesota,1345
Iowa,2018,3119306,2662849,371285,74199,10973,Minnesota,6286
Kansas,2018,2874208,2392841,371025,95748,14594,Minnesota,835
Kentucky,2018,4414714,3744188,547535,110456,12535,Minnesota,434
Louisiana,2018,4603081,4033845,474843,81355,13038,Minnesota,274
Maine,2018,1324095,1143612,142453,34706,3324,Minnesota,75
Maryland,2018,5974521,5133916,630955,163216,46434,Minnesota,284
Massachusetts,2018,6834364,5970065,653940,144042,66317,Minnesota,1578
Michigan,2018,9891083,8562101,1144840,139276,44866,Minnesota,1195
Minnesota,2018,5543490,4781432,635928,100270,25860,Minnesota,0
Mississippi,2018,2955717,2582347,297788,68000,7582,Minnesota,28
Missouri,2018,6053109,5161553,720626,152326,18604,Minnesota,2160
Montana,2018,1051757,891554,113693,43375,3135,Minnesota,2505
Nebraska,2018,1905843,1602056,239853,54579,9355,Minnesota,2242
Nevada,2018,3003761,2495398,366629,127362,14372,Minnesota,1070
New Hampshire,2018,1344750,1170412,119936,48367,6035,Minnesota,52
New Jersey,2018,8815804,7870909,722620,159846,62429,Minnesota,353
New Mexico,2018,2072546,1797834,204099,60068,10545,Minnesota,641
New York,2018,19329704,17327068,1614505,254447,133684,Minnesota,1286
North Carolina,2018,10274540,8723401,1178884,318681,53574,Minnesota,3342
North Dakota,2018,749825,623183,89228,33735,3679,Minnesota,10670
Ohio,2018,11555163,9892715,1426959,198026,37463,Minnesota,1405
Oklahoma,2018,3895983,3226343,548493,106943,14204,Minnesota,1167
Oregon,2018,4152756,3438653,554097,140627,19379,Minnesota,1693
Pennsylvania,2018,12674699,11119060,1239854,253520,62265,Minnesota,2019
Rhode Island,2018,1047975,928114,78525,32841,8495,Minnesota,0
South Carolina,2018,5029034,4309043,511153,186505,22333,Minnesota,366
South Dakota,2018,871271,740970,100177,26775,3349,Minnesota,3822
Tennessee,2018,6692936,5706212,748791,209377,28556,Minnesota,375
Texas,2018,28333482,23992374,3575604,563945,201559,Minnesota,7291
Utah,2018,3114717,2583764,408033,100824,22096,Minnesota,531
Vermont,2018,621681,542177,50818,26306,2380,Minnesota,461
Virginia,2018,8424340,7142767,947475,274003,60095,Minnesota,1616
Washington,2018,7453439,6101533,1028654,260906,62346,Minnesota,2131
West Virginia,2018,1787630,1585832,156420,43841,1537,Minnesota,70
Wisconsin,2018,5751525,4960260,659159,114613,17493,Minnesota,19632
Wyoming,2018,570867,479561,62957,25734,2615,Minnesota,59
Puerto Rico,2018,3173956,2915696,234174,20900,3186,Minnesota,0
Alabama,2019,4849509,4197698,534842,104780,12189,Minnesota,41
Alaska,2019,722063,609362,74375,34031,4295,Minnesota,417
Arizona,2019,7200620,6038776,861935,253295,46614,Minnesota,5868
Arkansas,2019,2989054,2559444,361762,59723,8125,Minnesota,1142
California,2019,39084048,34394220,3943139,480204,266485,Minnesota,8951
Colorado,2019,5701658,4695821,736314,240600,28923,Minnesota,5523
Connecticut,2019,3531986,3106754,306070,90044,29118,Minnesota,676
Delaware,2019,964817,843383,79186,38014,4234,Minnesota,0
District of Columbia ,2019,697556,563798,64893,58879,9986,Minnesota,278
Florida,2019,21269409,18083185,2381208,601611,203405,Minnesota,6239
Georgia,2019,10499808,9034705,1130068,284541,50494,Minnesota,968
Hawaii,2019,1396819,1215974,116566,49708,14571,Minnesota,500
Idaho,2019,1764327,1478739,200377,78730,6481,Minnesota,324
Illinois,2019,12536539,11014059,1274091,190627,57762,Minnesota,3930
Indiana,2019,6656971,5735703,743092,151443,26733,Minnesota,1599
Iowa,2019,3121385,2686528,348082,72651,14124,Minnesota,5358
Kansas,2019,2879518,2426897,345003,94648,12970,Minnesota,2373
Kentucky,2019,4421512,3792437,517128,100057,11890,Minnesota,310
Louisiana,2019,4595111,4018892,491341,67640,17238,Minnesota,112
Maine,2019,1331656,1162558,128105,36129,4864,Minnesota,0
Maryland,2019,5979602,5224363,569388,141766,44085,Minnesota,542
Massachusetts,2019,6828110,5975607,644535,144079,63889,Minnesota,1344
Michigan,2019,9880758,8606216,1104190,132008,38344,Minnesota,1747
Minnesota,2019,5575235,4836702,606228,106920,25385,Minnesota,0
Mississippi,2019,2943737,2583691,291479,61683,6884,Minnesota,0
Missouri,2019,6069697,5200465,694303,152345,22584,Minnesota,1321
Montana,2019,1056994,882156,129779,40862,4197,Minnesota,996
Nebraska,2019,1910711,1622237,234322,46064,8088,Minnesota,1615
Nevada,2019,3048602,2510591,384676,132950,20385,Minnesota,782
New Hampshire,2019,1350155,1173997,119189,50288,6681,Minnesota,92
New Jersey,2019,8791672,7888800,689445,149260,64167,Minnesota,98
New Mexico,2019,2073628,1816418,189705,55545,11960,Minnesota,356
New York,2019,19240920,17213380,1638372,254806,134362,Minnesota,2237
North Carolina,2019,10371906,8834381,1170200,315215,52110,Minnesota,2447
North Dakota,2019,750501,615450,94413,36668,3970,Minnesota,13506
Ohio,2019,11556037,9891733,1415185,205542,43577,Minnesota,1540
Oklahoma,2019,3907258,3282746,509137,101844,13531,Minnesota,638
Oregon,2019,4178578,3527178,501680,129921,19799,Minnesota,1368
Pennsylvania,2019,12670245,11092255,1259103,267465,51422,Minnesota,2708
Rhode Island,2019,1050602,930406,80686,34984,4526,Minnesota,0
South Carolina,2019,5092727,4414770,478892,176008,23057,Minnesota,685
South Dakota,2019,872708,739009,102133,26934,4632,Minnesota,5777
Tennessee,2019,6754461,5782145,755183,196765,20368,Minnesota,1215
Texas,2019,28642658,24347958,3517954,559661,217085,Minnesota,5949
Utah,2019,3162102,2661654,389057,95608,15783,Minnesota,770
Vermont,2019,617560,536752,57776,21212,1820,Minnesota,56
Virginia,2019,8439982,7201805,903735,264855,69587,Minnesota,1033
Washington,2019,7527366,6253469,977928,231956,64013,Minnesota,2378
West Virginia,2019,1773280,1563611,164739,39548,5382,Minnesota,433
Wisconsin,2019,5760481,5001140,634732,107973,16636,Minnesota,17524
Wyoming,2019,572884,473128,68127,30247,1382,Minnesota,492
Puerto Rico,2019,3175835,2968876,169733,31144,6082,Minnesota,0
Alabama,2021,4989797,4392571,468964,115641,12621,Minnesota,499
Alaska,2021,723949,625088,63611,31378,3872,Minnesota,179
Arizona,2021,7202745,6144045,759450,264948,34302,Minnesota,10891
Arkansas,2021,2990311,2595527,312848,76108,5828,Minnesota,1298
California,2021,38833197,34461724,3749371,433402,188700,Minnesota,6053
Colorado,2021,5757628,4794481,686892,250031,26224,Minnesota,4569
Connecticut,2021,3571470,3168509,279328,106618,17015,Minnesota,1361
Delaware,2021,994669,889174,58180,42551,4764,Minnesota,90
District of Columbia ,2021,661026,527167,68606,57746,7507,Minnesota,726
Florida,2021,21590684,18571567,2206566,674740,137811,Minnesota,10156
Georgia,2021,10688429,9243299,1107180,302512,35438,Minnesota,2038
Hawaii,2021,1426298,1230761,110790,71626,13121,Minnesota,695
Idaho,2021,1879719,1601568,176458,96388,5305,Minnesota,706
Illinois,2021,12544435,11095785,1200753,195177,52720,Minnesota,2712
Indiana,2021,6729771,5835956,714384,156417,23014,Minnesota,2362
Iowa,2021,3159672,2725417,347372,77245,9638,Minnesota,7893
Kansas,2021,2900594,2461533,323036,102319,13706,Minnesota,1962
Kentucky,2021,4460646,3878219,463451,107693,11283,Minnesota,680
Louisiana,2021,4571302,3987402,483769,81944,18187,Minnesota,815
Maine,2021,1360264,1203199,111418,43492,2155,Minnesota,298
Maryland,2021,6099715,5387234,519574,160016,32891,Minnesota,866
Massachusetts,2021,6916314,6043959,663154,158311,50890,Minnesota,1836
Michigan,2021,9950336,8827083,950370,143042,29841,Minnesota,3258
Minnesota,2021,5645866,4930664,606582,93286,15334,Minnesota,0
Mississippi,2021,2919574,2608484,241171,59759,10160,Minnesota,268
Missouri,2021,6102443,5282198,635797,165921,18527,Minnesota,933
Montana,2021,1093888,944443,100380,44531,4534,Minnesota,1089
Nebraska,2021,1939700,1677312,208977,43287,10124,Minnesota,2695
Nevada,2021,3111722,2661617,305571,132648,11886,Minnesota,1530
New Hampshire,2021,1377638,1223839,97263,53245,3291,Minnesota,300
New Jersey,2021,9174117,8199595,723937,195828,54757,Minnesota,385
New Mexico,2021,2092251,1828971,188495,68019,6766,Minnesota,906
New York,2021,19626300,17583476,1666707,287249,88868,Minnesota,2538
North Carolina,2021,10446881,9034306,1032016,336681,43878,Minnesota,2360
North Dakota,2021,764638,641023,83572,37844,2199,Minnesota,15897
Ohio,2021,11660200,10209047,1228277,184477,38399,Minnesota,2060
Oklahoma,2021,3943443,3347420,475441,108288,12294,Minnesota,1054
Oregon,2021,4207387,3600937,458434,133935,14081,Minnesota,1335
Pennsylvania,2021,12842522,11452320,1078336,261831,50035,Minnesota,890
Rhode Island,2021,1085539,959140,77691,43266,5442,Minnesota,160
South Carolina,2021,5142137,4444195,484535,196200,17207,Minnesota,1816
South Dakota,2021,884616,759943,95407,27528,1738,Minnesota,4390
Tennessee,2021,6899165,5955858,701333,220591,21383,Minnesota,1634
Texas,2021,29170380,25086829,3315313,591395,176843,Minnesota,9977
Utah,2021,3295561,2817208,359628,101051,17674,Minnesota,1183
Vermont,2021,641007,564684,42454,31809,2060,Minnesota,48
Virginia,2021,8557020,7384723,855269,272693,44335,Minnesota,1612
Washington,2021,7657350,6474967,909338,225306,47739,Minnesota,2252
West Virginia,2021,1767792,1584041,137757,43801,2193,Minnesota,127
Wisconsin,2021,5838954,5123397,578787,122742,14028,Minnesota,20941
Wyoming,2021,573476,481018,63128,27281,2049,Minnesota,236
Puerto Rico,2021,3248011,3040178,177594,27380,2859,Minnesota,0
Alabama,2022,5022366,4397470,471530,139263,14103,Minnesota,322
Alaska,2022,724196,614091,68351,36563,5191,Minnesota,356
Arizona,2022,7285247,6264863,690856,282729,46799,Minnesota,3927
Arkansas,2022,3007872,2618120,294640,86375,8737,Minnesota,1171
California,2022,38629179,34335186,3515077,475803,303113,Minnesota,5143
Colorado,2022,5781381,4834425,682450,229876,34630,Minnesota,4690
Connecticut,2022,3588965,3172833,245100,145315,25717,Minnesota,894
Delaware,2022,1008173,899454,57963,46162,4594,Minnesota,18
District of Columbia ,2022,660942,515345,68363,64506,12728,Minnesota,817
Florida,2022,22043900,19029143,2008758,738969,267030,Minnesota,9192
Georgia,2022,10791161,9348359,1054380,327795,60627,Minnesota,1825
Hawaii,2022,1425611,1251057,106642,56209,11703,Minnesota,264
Idaho,2022,1919357,1633120,189164,87949,9124,Minnesota,1315
Illinois,2022,12455441,11002931,1150055,228308,74147,Minnesota,3743
Indiana,2022,6757160,5886762,691986,149331,29081,Minnesota,1742
Iowa,2022,3166734,2760076,323444,72231,10983,Minnesota,5386
Kansas,2022,2906619,2480630,320201,94208,11580,Minnesota,1606
Kentucky,2022,4462146,3892713,439944,113197,16292,Minnesota,192
Louisiana,2022,4537185,4006126,435538,75330,20191,Minnesota,719
Maine,2022,1372172,1230229,95823,41618,4502,Minnesota,410
Maryland,2022,6100234,5395850,511449,139784,53151,Minnesota,1483
Massachusetts,2022,6918482,6065294,606626,171077,75485,Minnesota,1426
Michigan,2022,9936710,8786959,949469,157955,42327,Minnesota,3070
Minnesota,2022,5654602,4940488,571566,117016,25532,Minnesota,0
Mississippi,2022,2907327,2584891,238542,69948,13946,Minnesota,311
Missouri,2022,6111432,5320580,609551,163254,18047,Minnesota,3292
Montana,2022,1111641,964155,96436,48165,2885,Minnesota,1234
Nebraska,2022,1943359,1698838,184950,49159,10412,Minnesota,1180
Nevada,2022,3145500,2719228,284073,127406,14793,Minnesota,1863
New Hampshire,2022,1384607,1243278,86815,49782,4732,Minnesota,275
New Jersey,2022,9174261,8289128,630801,175023,79309,Minnesota,1400
New Mexico,2022,2092565,1846474,164418,72095,9578,Minnesota,373
New York,2022,19474187,17446663,1588018,301461,138045,Minnesota,1922
North Carolina,2022,10588557,9242557,946048,341582,58370,Minnesota,3518
North Dakota,2022,770498,648407,82522,34536,5033,Minnesota,13047
Ohio,2022,11631820,10218317,1161398,200809,51296,Minnesota,1972
Oklahoma,2022,3974110,3396824,441285,117788,18213,Minnesota,778
Oregon,2022,4201011,3590534,464369,128359,17749,Minnesota,1525
Pennsylvania,2022,12845436,11466446,1059216,262700,57074,Minnesota,1239
Rhode Island,2022,1083984,967814,67254,40311,8605,Minnesota,234
South Carolina,2022,5228328,4524995,461411,219707,22215,Minnesota,1234
South Dakota,2022,898505,778044,85602,31300,3559,Minnesota,6934
Tennessee,2022,6976549,6069961,649312,225969,31307,Minnesota,1809
Texas,2022,29671447,25416204,3349854,668338,237051,Minnesota,9423
Utah,2022,3337151,2859230,367147,91341,19433,Minnesota,980
Vermont,2022,641722,566069,45750,26151,3752,Minnesota,47
Virginia,2022,8590803,7439966,821193,266970,62674,Minnesota,1703
Washington,2022,7710339,6572952,831247,248355,57785,Minnesota,5002
West Virginia,2022,1758432,1576119,136161,43493,2659,Minnesota,31
Wisconsin,2022,5835492,5119356,571451,120434,24251,Minnesota,19307
Wyoming,2022,575705,487359,57696,28948,1702,Minnesota,463
Puerto Rico,2022,3203439,3015876,156208,26989,4366,Minnesota,150
Alabama,2017,4819343,4158224,535649,111803,13667,Mississippi,7798
Alaska,2017,730874,595804,98168,30199,6703,Mississippi,172
Arizona,2017,6935358,5717189,911120,261727,45322,Mississippi,1261
Arkansas,2017,2968395,2509717,370309,79411,8958,Mississippi,4171
California,2017,39085984,34009331,4234770,523131,318752,Mississippi,3299
Colorado,2017,5542282,4546729,734182,226933,34438,Mississippi,1085
Connecticut,2017,3556297,3136666,311726,83325,24580,Mississippi,0
Delaware,2017,952449,830905,78998,38532,4014,Mississippi,0
District of Columbia ,2017,684810,554225,64013,56231,10341,Mississippi,157
Florida,2017,20772371,17554348,2402381,566476,249166,Mississippi,4236
Georgia,2017,10299497,8760762,1202587,278889,57259,Mississippi,4597
Hawaii,2017,1410750,1231340,115683,46457,17270,Mississippi,171
Idaho,2017,1694182,1405344,210310,71899,6629,Mississippi,261
Illinois,2017,12659328,11026895,1365922,195092,71419,Mississippi,2409
Indiana,2017,6591598,5633171,792487,142290,23650,Mississippi,641
Iowa,2017,3106880,2654666,362905,77072,12237,Mississippi,164
