destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
Kentucky,2021,4460646,3878219,463451,107693,11283,Alabama,2407
Louisiana,2021,4571302,3987402,483769,81944,18187,Alabama,3717
Maine,2021,1360264,1203199,111418,43492,2155,Alabama,20
Maryland,2021,6099715,5387234,519574,160016,32891,Alabama,906
Massachusetts,2021,6916314,6043959,663154,158311,50890,Alabama,1056
Michigan,2021,9950336,8827083,950370,143042,29841,Alabama,2032
Minnesota,2021,5645866,4930664,606582,93286,15334,Alabama,104
Mississippi,2021,2919574,2608484,241171,59759,10160,Alabama,3795
Missouri,2021,6102443,5282198,635797,165921,18527,Alabama,1362
Montana,2021,1093888,944443,100380,44531,4534,Alabama,370
Nebraska,2021,1939700,1677312,208977,43287,10124,Alabama,134
Nevada,2021,3111722,2661617,305571,132648,11886,Alabama,492
New Hampshire,2021,1377638,1223839,97263,53245,3291,Alabama,370
New Jersey,2021,9174117,8199595,723937,195828,54757,Alabama,246
New Mexico,2021,2092251,1828971,188495,68019,6766,Alabama,484
New York,2021,19626300,17583476,1666707,287249,88868,Alabama,1930
North Carolina,2021,10446881,9034306,1032016,336681,43878,Alabama,3276
North Dakota,2021,764638,641023,83572,37844,2199,Alabama,377
Ohio,2021,11660200,10209047,1228277,184477,38399,Alabama,2258
Oklahoma,2021,3943443,3347420,475441,108288,12294,Alabama,914
Oregon,2021,4207387,3600937,458434,133935,14081,Alabama,487
Pennsylvania,2021,12842522,11452320,1078336,261831,50035,Alabama,585
Rhode Island,2021,1085539,959140,77691,43266,5442,Alabama,0
South Carolina,2021,5142137,4444195,484535,196200,17207,Alabama,1472
South Dakota,2021,884616,759943,95407,27528,1738,Alabama,30
Tennessee,2021,6899165,5955858,701333,220591,21383,Alabama,9869
Texas,2021,29170380,25086829,3315313,591395,176843,Alabama,9389
Utah,2021,3295561,2817208,359628,101051,17674,Alabama,436
Vermont,2021,641007,564684,42454,31809,2060,Alabama,94
Virginia,2021,8557020,7384723,855269,272693,44335,Alabama,1878
Washington,2021,7657350,6474967,909338,225306,47739,Alabama,1064
West Virginia,2021,1767792,1584041,137757,43801,2193,Alabama,506
Wisconsin,2021,5838954,5123397,578787,122742,14028,Alabama,331
Wyoming,2021,573476,481018,63128,27281,2049,Alabama,0
Puerto Rico,2021,3248011,3040178,177594,27380,2859,Alabama,47
Alabama,2022,5022366,4397470,471530,139263,14103,Alabama,0
Alaska,2022,724196,614091,68351,36563,5191,Alabama,151
Arizona,2022,7285247,6264863,690856,282729,46799,Alabama,727
Arkansas,2022,3007872,2618120,294640,86375,8737,Alabama,1911
California,2022,38629179,34335186,3515077,475803,303113,Alabama,5204
Colorado,2022,5781381,4834425,682450,229876,34630,Alabama,700
Connecticut,2022,3588965,3172833,245100,145315,25717,Alabama,1005
Delaware,2022,1008173,899454,57963,46162,4594,Alabama,203
District of Columbia ,2022,660942,515345,68363,64506,12728,Alabama,419
Florida,2022,22043900,19029143,2008758,738969,267030,Alabama,14734
Georgia,2022,10791161,9348359,1054380,327795,60627,Alabama,21031
Hawaii,2022,1425611,1251057,106642,56209,11703,Alabama,1611
Idaho,2022,1919357,1633120,189164,87949,9124,Alabama,0
Illinois,2022,12455441,11002931,1150055,228308,74147,Alabama,2389
Indiana,2022,6757160,5886762,691986,149331,29081,Alabama,792
Iowa,2022,3166734,2760076,323444,72231,10983,Alabama,180
Kansas,2022,2906619,2480630,320201,94208,11580,Alabama,1371
Kentucky,2022,4462146,3892713,439944,113197,16292,Alabama,1218
Louisiana,2022,4537185,4006126,435538,75330,20191,Alabama,1332
Maine,2022,1372172,1230229,95823,41618,4502,Alabama,274
Maryland,2022,6100234,5395850,511449,139784,53151,Alabama,1256
Massachusetts,2022,6918482,6065294,606626,171077,75485,Alabama,1082
Michigan,2022,9936710,8786959,949469,157955,42327,Alabama,1846
Minnesota,2022,5654602,4940488,571566,117016,25532,Alabama,732
Mississippi,2022,2907327,2584891,238542,69948,13946,Alabama,5444
Missouri,2022,6111432,5320580,609551,163254,18047,Alabama,570
Montana,2022,1111641,964155,96436,48165,2885,Alabama,168
Nebraska,2022,1943359,1698838,184950,49159,10412,Alabama,1418
Nevada,2022,3145500,2719228,284073,127406,14793,Alabama,1007
New Hampshire,2022,1384607,1243278,86815,49782,4732,Alabama,0
New Jersey,2022,9174261,8289128,630801,175023,79309,Alabama,565
New Mexico,2022,2092565,1846474,164418,72095,9578,Alabama,316
New York,2022,19474187,17446663,1588018,301461,138045,Alabama,804
North Carolina,2022,10588557,9242557,946048,341582,58370,Alabama,3872
North Dakota,2022,770498,648407,82522,34536,5033,Alabama,78
Ohio,2022,11631820,10218317,1161398,200809,51296,Alabama,3028
Oklahoma,2022,3974110,3396824,441285,117788,18213,Alabama,846
Oregon,2022,4201011,3590534,464369,128359,17749,Alabama,216
Pennsylvania,2022,12845436,11466446,1059216,262700,57074,Alabama,775
Rhode Island,2022,1083984,967814,67254,40311,8605,Alabama,184
South Carolina,2022,5228328,4524995,461411,219707,22215,Alabama,1438
South Dakota,2022,898505,778044,85602,31300,3559,Alabama,0
Tennessee,2022,6976549,6069961,649312,225969,31307,Alabama,9375
Texas,2022,29671447,25416204,3349854,668338,237051,Alabama,8618
Utah,2022,3337151,2859230,367147,91341,19433,Alabama,609
Vermont,2022,641722,566069,45750,26151,3752,Alabama,0
Virginia,2022,8590803,7439966,821193,266970,62674,Alabama,1794
Washington,2022,7710339,6572952,831247,248355,57785,Alabama,488
